superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
SSA,AGO,Angola,0,1,999,3,144.75912,133.01767,14.455771,8.3665924,22.04285,284.42593,29.972013,77.161522,523.42102,2440.3003,48.70789
SSA,AGO,Angola,0,1,999,999,116.28784,119.1809,12.072571,6.6643448,15.990463,264.23984,19.26482,75.438133,505.0365,2413.6882,32.490746
SSA,AGO,Angola,0,999,0,1,67.588135,88.121964,8.2479458,3.2611275,6.5967855,112.84232,7.4587212,64.924614,530.44458,2524.335,17.778009
SSA,AGO,Angola,0,999,0,2,85.825638,94.96962,9.3506985,3.9552641,9.3511391,138.8309,13.034309,66.901779,521.23328,2552.2646,27.364433
SSA,AGO,Angola,0,999,0,3,108.05686,107.48264,11.684196,5.172349,13.270072,140.0769,21.445587,68.306862,555.31659,2587.021,44.483391
SSA,AGO,Angola,0,999,0,999,86.722809,96.660751,9.7265453,4.1100016,9.6691484,130.2157,13.833527,66.672302,535.5105,2553.8694,29.602329
SSA,AGO,Angola,0,999,1,1,83.284958,88.267799,8.8148918,5.9875021,10.046427,265.90552,14.175756,73.730614,501.19827,2296.1543,26.976791
SSA,AGO,Angola,0,999,1,2,105.79886,94.718506,10.136564,7.2909532,14.294434,328.61646,24.822083,76.383507,491.84174,2314.8889,41.925114
SSA,AGO,Angola,0,999,1,3,132.95401,107.77124,12.489572,9.3807697,20.125362,331.50989,41.27356,77.478638,524.58942,2339.1926,67.975342
SSA,AGO,Angola,0,999,1,999,106.81248,96.72287,10.44277,7.5179224,14.715588,307.79099,26.475111,75.818741,505.73517,2316.2871,45.205441
SSA,AGO,Angola,0,999,999,1,76.97216,88.209137,8.5868816,4.8910356,8.6590834,204.34807,11.474365,70.189102,512.96021,2387.9214,23.277315
SSA,AGO,Angola,0,999,999,2,97.766235,94.819504,9.8205128,5.949439,12.30639,252.29039,20.081394,72.570236,503.66217,2410.3545,36.069248
